stadium_id,statium_name,capacity
619094,Dean Court,12000
163995,Emirates Stadium,60338
175339,Villa Park,42640
1546623,Gtech Community Stadium,17250
619409,Brighton Community Stadium,31800
171458,Stamford Bridge,41875
1066373,Selhurst Park,26255
188874,Goodison Park,39414
318043,Craven Cottage,25700
619558,Portman Road,30311
620031,King Power Stadium,32261
45671,Anfield,53394
48159,Etihad Stadium,55017
83457,Old Trafford,75731
191774,St Jamesâ€™ Park,52305
593446,City Ground,30404
567339,St Mary's Stadium,32589
55074091,Tottenham Hotspur Stadium,62850
172190,London Stadium,62500
380823,Molineux Stadium,30852
245085,Ewood Park,31367
726370,Ashton Gate Stadium,27699
683112,Turf Moor,21944
503848,Cardiff City Stadium,33280
842077,Coventry Building Society Arena,32609
201612,Pride Park Stadium,33597
630160,MKM Stadium,25400
619505,Elland Road,37792
1063683,Kenilworth Road,12056
822886,Riverside Stadium,34742
908481,The Den,20146
123017,Carrow Road,27244
1672134,Kassam Stadium,12500
619350,Home Park,17900
619531,Fratton Park,21100
1141958,Deepdale,24500
31670,Loftus Road,18439
897533,Bramall Lane,32702
642557,Hillsborough Stadium,39732
500922,Bet365 Stadium,27740
31969,Stadium of Light,48339
580480,Swansea.com Stadium,20750
10626,Vicarage Road,22000
31678,The Hawthorns,26445
