,player,pos,nation,born
562,Ashley Young,"DF,FW",ENG,1985
564,Bertrand Traoré,"MF,FW",BFA,1995
566,Cameron Archer,"FW,MF",ENG,2001
570,Emi Buendía,"MF,FW",ARG,1996
575,Jed Steer,GK,ENG,1992
577,Keinan Davis,FW,ENG,1998
579,Leon Bailey,"FW,MF",JAM,1997
580,Lucas Digne,DF,FRA,1993
586,Philippe Coutinho,"MF,FW",BRA,1992
588,Tim Iroegbunam,MF,ENG,2003
592,Bryan Mbeumo,FW,CMR,1999
593,Charlie Goode,DF,ENG,1995
594,Christian Eriksen,MF,DEN,1992
595,Christian Nørgaard,MF,DEN,1994
596,David Raya,GK,ESP,1995
597,Dominic Thompson,DF,ENG,2000
598,Ethan Pinnock,DF,JAM,1993
599,Finley Stevens,DF,WAL,2003
600,Frank Onyeka,MF,NGA,1998
601,Ivan Toney,FW,ENG,1996
602,Jonas Lössl,GK,DEN,1989
603,Josh Dasilva,"MF,FW",ENG,1998
604,Kristoffer Ajer,DF,NOR,1998
605,Mads Bech Sørensen,DF,DEN,1999
606,Mads Bidstrup,MF,DEN,2001
607,Mads Roerslev,DF,DEN,1999
608,Marcus Forss,"FW,MF",FIN,1999
609,Mathias Jensen,MF,DEN,1996
610,Mathias Jørgensen,DF,DEN,1990
611,Nathan Young-Coombes,MF,ENG,2003
612,Pontus Jansson,DF,SWE,1991
613,Rico Henry,DF,ENG,1997
614,Saman Ghoddos,"MF,DF",IRN,1993
615,Sergi Canós,"DF,FW",ESP,1997
616,Shandon Baptiste,MF,GRN,1998
617,Tariqe Fosu,DF,GHA,1995
618,Vitaly Janelt,MF,GER,1998
619,Yoane Wissa,FW,COD,1996
620,Álvaro Fernández,GK,ESP,1998
621,Aaron Connolly,"FW,MF",IRL,2000
622,Adam Lallana,MF,ENG,1988
626,Danny Welbeck,"FW,MF",ENG,1990
627,Enock Mwepu,MF,ZAM,1998
628,Evan Ferguson,MF,IRL,2004
629,Jakub Moder,MF,POL,1999
630,Jason Steele,GK,ENG,1990
631,Jeremy Sarmiento,"FW,MF",ECU,2002
633,Jürgen Locadia,"MF,FW",CUW,1993
634,Leandro Trossard,"FW,MF",BEL,1994
636,Marc Cucurella,DF,ESP,1998
637,Moisés Caicedo,MF,ECU,2001
638,Neal Maupay,FW,FRA,1996
641,Shane Duffy,DF,IRL,1992
642,Solly March,"DF,FW",ENG,1994
644,Tariq Lamptey,"DF,FW",GHA,2000
645,Taylor Richards,MF,ENG,2000
647,Aaron Lennon,"MF,FW",ENG,1987
653,Connor Roberts,DF,WAL,1995
656,Erik Pieters,DF,NED,1988
665,Maxwel Cornet,"FW,MF",CIV,1996
666,Nathan Collins,DF,IRL,2001
668,Wayne Hennessey,GK,WAL,1987
669,Wout Weghorst,FW,NED,1992
673,Callum Hudson-Odoi,"MF,FW",ENG,2000
674,Christian Pulisic,"MF,FW",USA,1998
680,Kai Havertz,"FW,MF",GER,1999
681,Kenedy,DF,BRA,1996
683,Malang Sarr,DF,FRA,1999
689,Romelu Lukaku,FW,BEL,1993
690,Ross Barkley,"MF,FW",ENG,1993
691,Ruben Loftus-Cheek,"MF,DF",ENG,1996
692,Saúl Ñíguez,"DF,MF",ESP,1994
695,Trevoh Chalobah,DF,ENG,1999
696,Cheikhou Kouyaté,MF,SEN,1989
699,Eberechi Eze,"MF,FW",ENG,1998
705,Jeffrey Schlupp,"MF,FW",GHA,1992
706,Jesurun Rak Sakyi,"FW,MF",ENG,2002
709,Jordan Ayew,FW,GHA,1991
711,Marc Guéhi,DF,ENG,2000
712,Michael Olise,"FW,MF",FRA,2001
713,Nathan Ferguson,DF,ENG,2000
715,Odsonne Édouard,FW,FRA,1998
719,Will Hughes,MF,ENG,1995
721,Alex Iwobi,"MF,DF",NGA,1996
725,Anthony Gordon,"MF,FW",ENG,2001
727,Asmir Begović,GK,BIH,1987
729,Cenk Tosun,MF,TUR,1991
730,Dele Alli,"MF,FW",ENG,1996
731,Demarai Gray,"MF,FW",JAM,1996
733,Donny van de Beek,MF,NED,1997
734,Ellis Simms,FW,ENG,2001
735,Fabian Delph,MF,ENG,1989
736,Isaac Price,MF,NIR,2003
737,Jarrad Branthwaite,DF,ENG,2002
741,Lewis Dobbin,"FW,MF",ENG,2003
745,Moise Kean,FW,ITA,2000
747,Salomón Rondón,FW,VEN,1989
748,Séamus Coleman,DF,IRL,1988
750,Tyler Onyango,MF,ENG,2003
751,Vitaliy Mykolenko,DF,UKR,1999
753,Adam Forshaw,MF,ENG,1991
754,Charlie Cresswell,DF,ENG,2002
755,Cody Drameh,"DF,MF",ENG,2001
756,Crysencio Summerville,"MF,FW",NED,2001
757,Daniel James,"FW,MF",WAL,1997
759,Hélder Costa,MF,ANG,1994
761,Jack Harrison,"FW,MF",ENG,1996
762,Jamie Shackleton,"DF,MF",ENG,1999
763,Joe Gelhardt,"FW,MF",ENG,2002
764,Junior Firpo,"DF,MF",DOM,1996
766,Kristoffer Klaesson,GK,NOR,2000
767,Leo Fuhr Hjelde,"MF,DF",NOR,2003
768,Lewis Bate,MF,ENG,2002
770,Liam McCarron,FW,SCO,2001
775,Raphinha,"FW,MF",BRA,1996
776,Robin Koch,"MF,DF",GER,1996
778,Sam Greenwood,"MF,FW",ENG,2002
779,Stuart Dallas,"DF,MF",NIR,1991
780,Stuart McKinstry,MF,SCO,2002
784,Boubakary Soumaré,MF,FRA,1999
786,Danny Ward,GK,WAL,1993
787,Hamza Choudhury,"DF,MF",BAN,1997
790,James Maddison,"MF,FW",ENG,1996
794,Kasey McAteer,FW,IRL,2001
797,Kiernan Dewsbury-Hall,MF,ENG,1998
798,Lewis Brunt,MF,ENG,2000
800,Marc Albrighton,"FW,DF",ENG,1989
802,Patson Daka,FW,ZAM,1998
803,Ricardo Pereira,DF,POR,1993
817,Fabinho,MF,BRA,1993
818,Harvey Elliott,MF,ENG,2003
819,Ibrahima Konaté,DF,FRA,1999
822,Jordan Henderson,MF,ENG,1990
824,Kaide Gordon,FW,ENG,2004
825,Kostas Tsimikas,DF,GRE,1996
826,Luis Díaz,FW,COL,1997
832,Takumi Minamino,"FW,MF",JPN,1995
835,Tyler Morton,MF,ENG,2002
840,CJ Egan-Riley,DF,ENG,2003
841,Cole Palmer,"FW,MF",ENG,2002
843,Fernandinho,"MF,DF",BRA,1985
844,Ferrán Torres,FW,ESP,2000
846,Jack Grealish,FW,ENG,1995
847,James Mcatee,"MF,FW",ENG,2002
849,João Cancelo,DF,POR,1994
850,Kayky Chagas,FW,BRA,2003
856,Phil Foden,FW,ENG,2000
864,Alejandro Garnacho,"FW,MF",ARG,2004
869,Cristiano Ronaldo,FW,POR,1985
872,Diogo Dalot,DF,POR,1999
877,Hannibal Mejbri,FW,TUN,2003
879,Jadon Sancho,"FW,MF",ENG,2000
880,Jesse Lingard,"FW,MF",ENG,1992
881,Juan Mata,MF,ESP,1988
883,Marcus Rashford,"FW,MF",ENG,1997
884,Mason Greenwood,"FW,MF",ENG,2001
887,Phil Jones,DF,ENG,1992
888,Raphaël Varane,DF,FRA,1993
890,Shola Shoretire,MF,ENG,2004
893,Bruno Guimarães,MF,BRA,1997
898,Dwight Gayle,"FW,DF",ENG,1990
902,Freddie Woodman,GK,ENG,1997
904,Jacob Murphy,"FW,DF",ENG,1995
910,Joelinton,"MF,FW",BRA,1996
913,Kieran Trippier,DF,ENG,1990
915,Matt Ritchie,DF,SCO,1989
921,Adam Idah,"FW,MF",IRL,2001
922,Andrew Omobamidele,DF,IRL,2002
923,Angus Gunn,GK,SCO,1996
924,Bali Mumba,DF,ENG,2001
925,Ben Gibson,DF,ENG,1993
928,Christoph Zimmermann,DF,GER,1993
929,Christos Tzolis,"FW,MF",GRE,2002
930,Dimitris Giannoulis,DF,GRE,1995
931,Grant Hanley,DF,SCO,1991
932,Jakob Sørensen,"MF,DF",DEN,1998
933,Jonathan Rowe,"FW,MF",ENG,2003
934,Josh Sargent,"FW,MF",USA,2000
935,Kenny McLean,MF,SCO,1992
936,Kieran Dowell,"FW,MF",ENG,1997
937,Lukas Rupp,MF,GER,1991
938,Mathias Normann,MF,NOR,1996
939,Max Aarons,DF,ENG,2000
940,Milot Rashica,"FW,MF",KVX,1996
942,Pierre Lees-Melou,MF,FRA,1993
943,Przemysław Płacheta,"FW,MF",POL,1998
944,Sam Byram,DF,ENG,1993
945,Teemu Pukki,FW,FIN,1990
946,Tim Krul,GK,NED,1988
947,Todd Cantwell,"FW,MF",ENG,1998
948,Tony Springett,"MF,FW",IRL,2002
949,Adam Armstrong,FW,ENG,1997
951,Armando Broja,FW,ALB,2001
959,Lyanco,DF,BRA,1997
960,Mohamed Elyounoussi,"MF,FW",NOR,1994
964,Nathan Tella,"MF,FW",NGA,1999
966,Romain Perraud,DF,FRA,1997
970,Valentino Livramento,DF,ENG,2002
971,William Smallbone,"MF,FW",IRL,2000
973,Yan Valery,DF,TUN,1999
975,Bryan Gil,"FW,MF",ESP,2001
976,Cristian Romero,DF,ARG,1998
977,Dane Scarlett,MF,ENG,2004
979,Dejan Kulusevski,"MF,FW",SWE,2000
981,Emerson,"DF,MF",BRA,1999
983,Giovani Lo Celso,"MF,FW",ARG,1996
991,Oliver Skipp,MF,ENG,2000
993,Rodrigo Bentancur,MF,URU,1997
994,Ryan Sessegnon,"DF,MF",ENG,2000
995,Sergio Reguilón,"DF,MF",ESP,1996
996,Son Heung-min,"MF,FW",KOR,1992
999,Adam Masina,DF,MAR,1994
1000,Ashley Fletcher,FW,ENG,1995
1001,Ben Foster,GK,ENG,1983
1002,Christian Kabasele,DF,BEL,1991
1003,Craig Cathcart,DF,NIR,1989
1004,Cucho,"FW,MF",COL,1999
1005,Dan Gosling,MF,ENG,1990
1006,Daniel Bachmann,GK,AUT,1994
1007,Danny Rose,DF,ENG,1990
1008,Edo Kayembe,MF,COD,1998
1009,Emmanuel Dennis,"FW,MF",NGA,1997
1010,Francisco Sierralta,DF,CHI,1997
1011,Hassane Kamara,DF,CIV,1994
1012,Imran Louza,MF,MAR,1999
1013,Ismaila Sarr,"FW,MF",SEN,1998
1015,Joshua King,FW,NOR,1992
1016,João Pedro,"FW,MF",BRA,2001
1017,Juraj Kucka,MF,SVK,1987
1018,Ken Sema,"MF,FW",SWE,1993
1019,Kiko Femenía,DF,ESP,1991
1021,Nicolas Nkoulou,DF,CMR,1990
1022,Oghenekaro Etebo,MF,NGA,1995
1023,Ozan Tufan,MF,TUR,1995
1024,Samir Santos,DF,BRA,1994
1025,Samuel Kalu,FW,NGA,1997
1026,Tom Cleverley,MF,ENG,1989
1027,Troy Deeney,FW,ENG,1988
1028,William Troost-Ekong,DF,NGA,1993
1030,Alex Král,MF,CZE,1998
1034,Arthur Masuaku,"DF,FW",COD,1993
1035,Ben Johnson,DF,ENG,2000
1037,Daniel Chesters,MF,ENG,2002
1039,Harrison Ashby,DF,SCO,2001
1041,Jarrod Bowen,FW,ENG,1996
1046,Nikola Vlašić,"FW,MF",CRO,1997
1048,Ryan Fredericks,DF,ENG,1992
1050,Sonny Perkins,MF,ENG,2004
1055,Chem Campbell,MF,WAL,2002
1056,Chiquinho,"DF,FW",POR,2000
1058,Daniel Podence,"FW,MF",POR,1995
1059,Fernando Marçal,"MF,DF",BRA,1989
1060,Francisco Trincão,"FW,MF",POR,1999
1062,Hwang Hee-chan,"FW,MF",KOR,1996
1064,Jonny Castro,DF,ESP,1994
1065,José Sá,GK,POR,1993
1068,Leander Dendoncker,MF,BEL,1995
1069,Luke Cundle,MF,ENG,2002
1071,Morgan Gibbs-White,"DF,FW",ENG,2000
1072,Nélson Semedo,"MF,DF",POR,1993
1074,Rayan Aït-Nouri,"DF,MF",ALG,2001
1078,Toti Gomes,DF,POR,1999
1083,Bukayo Saka,FW,ENG,2001
1087,Ethan Nwaneri,FW,ENG,2007
1088,Fabio Vieira,"MF,FW",POR,2000
1092,Granit Xhaka,MF,SUI,1992
1093,Jakub Kiwior,DF,POL,2000
1096,Leandro Trossard,FW,BEL,1994
1097,Marquinhos,MF,BRA,2003
1105,William Saliba,DF,FRA,2001
1106,Ashley Young,DF,ENG,1985
1107,Bertrand Traoré,"FW,MF",BFA,1995
1108,Boubacar Kamara,MF,FRA,1999
1109,Calum Chambers,"DF,MF",ENG,1995
1112,Diego Carlos,DF,BRA,1993
1117,Jacob Ramsey,"MF,FW",ENG,2001
1119,John McGinn,"MF,FW",SCO,1994
1120,Jáder Durán,"FW,MF",COL,2003
1124,Ludwig Augustinsson,DF,SWE,1994
1131,Álex Moreno,DF,ESP,1993
1132,Adam Smith,DF,ENG,1991
1133,Antoine Semenyo,"FW,MF",GHA,2000
1134,Ben Pearson,MF,ENG,1995
1135,Chris Mepham,DF,WAL,1997
1136,Dango Ouattara,"MF,FW",BFA,2002
1137,David Brooks,"FW,MF",WAL,1997
1138,Dominic Solanke,"FW,MF",ENG,1997
1139,Emiliano Marcondes,MF,DEN,1995
1140,Hamed Junior Traorè,"FW,MF",CIV,2000
1141,Illia Zabarnyi,DF,UKR,2002
1142,Jack Stacey,DF,ENG,1996
1144,Jaidon Anthony,"MF,FW",ENG,1999
1145,Jamal Lowe,"MF,FW",JAM,1994
1146,Jefferson Lerma,MF,COL,1994
1147,Joe Rothwell,MF,ENG,1995
1148,Jordan Zemura,DF,ZIM,1999
1149,Junior Stanislas,MF,ENG,1989
1150,Kieffer Moore,FW,WAL,1992
1151,Lewis Cook,MF,ENG,1997
1152,Lloyd Kelly,DF,ENG,1998
1153,Marcos Senesi,DF,ARG,1997
1154,Marcus Tavernier,"MF,FW",ENG,1999
1155,Mark Travers,GK,IRL,1999
1156,Matías Viña,DF,URU,1997
1157,Neto,GK,BRA,1989
1158,Owen Bevan,DF,WAL,2003
1159,Philip Billing,"MF,FW",DEN,1996
1160,Ryan Christie,"MF,FW",SCO,1995
1162,Siriki Dembélé,"FW,MF",CIV,1996
1163,Aaron Hickey,DF,SCO,2002
1170,Halil Dervişoğlu,MF,TUR,1999
1172,Josh Dasilva,MF,ENG,1998
1173,Keane Lewis-Potter,"FW,MF",ENG,2001
1174,Kevin Schade,FW,GER,2001
1176,Mads Bech Sørensen,"DF,MF",DEN,1999
1180,Mikkel Damsgaard,"MF,FW",DEN,2000
1183,Saman Ghoddos,"MF,FW",IRN,1993
1184,Sergi Canós,"FW,DF",ESP,1997
1186,Vitaly Janelt,"MF,DF",GER,1998
1190,Alexis Mac Allister,MF,ARG,1998
1191,Andrew Moran,FW,IRL,2003
1193,Cameron Peupion,MF,AUS,2002
1195,Deniz Undav,"FW,MF",GER,1996
1196,Enock Mwepu,"FW,MF",ZAM,1998
1197,Evan Ferguson,FW,IRL,2004
1198,Facundo Buonanotte,"FW,MF",ARG,2004
1199,Jack Hinshelwood,FW,ENG,2005
1200,Jan Paul van Hecke,DF,NED,2000
1202,Jeremy Sarmiento,MF,ECU,2002
1204,Julio Enciso,"FW,MF",PAR,2004
1205,Kaoru Mitoma,"FW,MF",JPN,1997
1207,Levi Colwill,DF,ENG,2003
1210,Odeluga Offiah,DF,ENG,2002
1212,Pervis Estupiñán,DF,ECU,1998
1214,Solly March,"FW,DF",ENG,1994
1215,Tariq Lamptey,DF,GHA,2000
1216,Yasin Ayari,MF,SWE,2003
1218,Ben Chilwell,"DF,MF",ENG,1996
1219,Benoît Badiashile,DF,FRA,2001
1221,Christian Pulisic,"FW,DF",USA,1998
1224,David Datro Fofana,FW,CIV,2002
1225,Denis Zakaria,MF,SUI,1996
1227,Enzo Fernández,MF,ARG,2001
1228,Hakim Ziyech,"FW,MF",MAR,1993
1230,João Félix,"FW,MF",POR,1999
1232,Kalidou Koulibaly,DF,SEN,1991
1234,Lewis Hall,DF,ENG,2004
1236,Mason Mount,"MF,FW",ENG,1999
1238,Mykhailo Mudryk,"FW,MF",UKR,2001
1240,Noni Madueke,FW,ENG,2002
1241,Omari Hutchinson,FW,ENG,2003
1243,Raheem Sterling,"FW,MF",ENG,1994
1244,Reece James,"DF,MF",ENG,1999
1250,Cheick Doucouré,MF,MLI,2000
1251,Chris Richards,DF,USA,2000
1252,David Ozoh,FW,ENG,2005
1256,Jaïro Riedewald,"DF,MF",NED,1996
1262,Joseph Whitworth,GK,ENG,2004
1264,Malcolm Ebiowei,"MF,FW",ENG,2003
1267,Naouirou Ahamada,"MF,FW",FRA,2002
1273,Wilfried Zaha,"FW,MF",CIV,1992
1276,Alex Iwobi,"MF,FW",NGA,1996
1277,Amadou Onana,MF,BEL,2001
1278,Anthony Gordon,FW,ENG,2001
1283,Demarai Gray,"FW,MF",JAM,1996
1285,Dwight McNeil,"FW,MF",ENG,1999
1287,Idrissa Gana Gueye,MF,SEN,1989
1289,James Garner,"MF,DF",ENG,2001
1294,Nathan Patterson,"DF,MF",SCO,2001
1296,Rúben Vinagre,"DF,MF",POR,1999
1299,Thomas Cannon,FW,IRL,2002
1304,Andreas Pereira,MF,BRA,1996
1307,Bobby De Cordova-Reid,"FW,DF",JAM,1993
1312,Harry Wilson,FW,WAL,1997
1314,Jay Stansfield,FW,ENG,2002
1316,João Palhinha,MF,POR,1995
1317,Kenny Tete,DF,NED,1995
1318,Kevin Mbabu,"DF,FW",SUI,1995
1319,Layvin Kurzawa,DF,FRA,1992
1320,Luke Harris,"MF,FW",WAL,2005
1321,Manor Solomon,FW,ISR,1999
1323,Nathaniel Chalobah,MF,ENG,1994
1324,Neeskens Kebano,FW,COD,1992
1325,Saša Lukić,MF,SRB,1996
1326,Shane Duffy,"DF,FW",IRL,1992
1330,Tyrese Francois,FW,AUS,2000
1333,Brenden Aaronson,"MF,FW",USA,2000
1334,Cody Drameh,DF,ENG,2001
1335,Crysencio Summerville,FW,NED,2001
1337,Darko Gyabi,FW,ENG,2004
1339,Georginio Rutter,"FW,MF",FRA,2002
1342,Joe Gelhardt,FW,ENG,2002
1343,Joel Robles,GK,ESP,1990
1344,Junior Firpo,DF,DOM,1996
1346,Luis Sinisterra,FW,COL,1999
1348,Marc Roca,MF,ESP,1996
1349,Mateo Joseph,"FW,MF",ESP,2003
1350,Mateusz Klich,"MF,FW",POL,1990
1351,Maximilian Wöber,DF,AUT,1998
1352,Pascal Struijk,DF,NED,1999
1354,Rasmus Kristensen,DF,DEN,1997
1355,Robin Koch,DF,GER,1996
1356,Rodrigo,"FW,MF",ESP,1991
1358,Tyler Adams,MF,USA,1999
1359,Weston McKennie,MF,USA,1998
1360,Wilfried Gnonto,"FW,MF",ITA,2003
1364,Daniel Iversen,GK,DEN,1997
1366,Dennis Praet,"MF,FW",BEL,1994
1367,Harry Souttar,DF,AUS,1998
1373,Kelechi Iheanacho,"FW,MF",NGA,1996
1375,Lewis Brunt,DF,ENG,2000
1377,Marc Albrighton,"FW,MF",ENG,1989
1380,Ricardo Pereira,"DF,MF",POR,1993
1381,Tetê,FW,BRA,2000
1383,Victor Bernth Kristiansen,DF,DEN,2002
1385,Wilfred Ndidi,MF,NGA,1996
1386,Wout Faes,DF,BEL,1998
1389,Alex Oxlade-Chamberlain,"FW,MF",ENG,1993
1392,Ben Gannon-Doak,FW,SCO,2005
1393,Bobby Clark,MF,ENG,2005
1395,Cody Gakpo,"FW,MF",NED,1999
1397,Darwin Núñez,FW,URU,1999
1401,Harvey Elliott,"MF,FW",ENG,2003
1412,Roberto Firmino,"FW,MF",BRA,1991
1413,Stefan Bajcetic,MF,ESP,2004
1419,Cole Palmer,"MF,FW",ENG,2002
1421,Erling Haaland,FW,NOR,2000
1423,John Stones,"DF,MF",ENG,1994
1425,Julián Álvarez,"FW,MF",ARG,2000
1429,Manuel Akanji,DF,SUI,1995
1430,Máximo Perrone,MF,ARG,2003
1433,Rico Lewis,"DF,MF",ENG,2004
1434,Riyad Mahrez,"FW,MF",ALG,1991
1437,Sergio Gómez,"DF,MF",ESP,2000
1438,Shea Charles,DF,NIR,2003
1439,Stefan Ortega,GK,GER,1992
1445,Antony,FW,BRA,2000
1446,Bruno Fernandes,"MF,FW",POR,1994
1447,Casemiro,MF,BRA,1992
1453,Facundo Pellistri,"FW,MF",URU,2001
1457,Kobbie Mainoo,MF,ENG,2005
1458,Lisandro Martínez,DF,ARG,1998
1460,Marcel Sabitzer,MF,AUT,1994
1464,Tyrell Malacia,DF,NED,1999
1466,Wout Weghorst,"FW,MF",NED,1992
1467,Alexander Isak,FW,SWE,1999
1468,Allan Saint-Maximin,FW,FRA,1997
1474,Elliot Anderson,"MF,FW",ENG,2002
1477,Jacob Murphy,FW,ENG,1995
1479,Jamal Lewis,"DF,FW",NIR,1998
1485,Lewis Miley,MF,ENG,2006
1487,Matt Ritchie,"FW,MF",SCO,1989
1489,Miguel Almirón,FW,PAR,1994
1491,Ryan Fraser,FW,SCO,1994
1493,Sven Botman,DF,NED,2000
1494,Alex Mighten,FW,ENG,2002
1495,André Ayew,"FW,MF",GHA,1989
1496,Brennan Johnson,"FW,MF",WAL,2001
1497,Cafú,MF,POR,1993
1500,Danilo,MF,BRA,2001
1503,Felipe,DF,BRA,1989
1504,Giulian Biancone,DF,FRA,2000
1505,Gustavo Scarpa,"MF,FW",BRA,1994
1506,Harry Toffolo,DF,ENG,1995
1507,Jack Colback,MF,ENG,1989
1509,Joe Worrall,DF,ENG,1997
1511,Keylor Navas,GK,CRC,1986
1512,Lewis O'Brien,MF,ENG,1998
1514,Moussa Niakhate,DF,SEN,1996
1516,Orel Mangala,MF,BEL,1998
1517,Remo Freuler,MF,SUI,1992
1518,Renan Lodi,DF,BRA,1998
1519,Ryan Yates,MF,ENG,1997
1520,Sam Surridge,FW,ENG,1998
1521,Scott McKenna,DF,SCO,1996
1523,Steve Cook,DF,ENG,1991
1524,Taiwo Awoniyi,FW,NGA,1997
1527,Adam Armstrong,"FW,MF",ENG,1997
1528,Ainsley Maitland-Niles,"DF,MF",ENG,1997
1530,Armel Bella Kotchap,DF,GER,2001
1531,Carlos Alcaraz,"MF,FW",ARG,2002
1533,Dominic Ballard,"FW,MF",ENG,2005
1534,Duje Ćaleta-Car,DF,CRO,1996
1535,Gavin Bazunu,GK,IRL,2002
1538,James Bree,DF,ENG,1997
1541,Joe Aribo,"MF,FW",NGA,1996
1542,Juan Larios,DF,ESP,2004
1543,Kamaldeen Sulemana,"FW,MF",GHA,2002
1544,Kami Doyle,MF,ENG,2005
1547,Mislav Oršić,MF,CRO,1992
1550,Moussa Djenepo,"DF,FW",MLI,1998
1551,Nathan Redmond,DF,ENG,1994
1553,Paul Onuachu,FW,NGA,1994
1555,Roméo Lavia,MF,BEL,2004
1556,Samuel Amo-Ameyaw,MF,ENG,2006
1557,Samuel Edozie,"FW,MF",ENG,2003
1558,Sekou Mara,"FW,MF",FRA,2002
1559,Stuart Armstrong,"MF,FW",SCO,1992
1560,Theo Walcott,"FW,MF",ENG,1989
1561,Valentino Livramento,"DF,FW",ENG,2002
1563,Arnaut Danjuma,"FW,MF",NED,1997
1565,Bryan Gil,"MF,FW",ESP,2001
1566,Clément Lenglet,DF,FRA,1995
1570,Djed Spence,"FW,DF",ENG,2000
1571,Emerson,DF,BRA,1999
1574,George Abbott,MF,ENG,2005
1576,Harvey White,MF,ENG,2001
1578,Ivan Perišić,"DF,MF",CRO,1989
1580,Lucas Moura,"MF,DF",BRA,1992
1581,Matt Doherty,"DF,MF",IRL,1992
1582,Matthew Craig,MF,SCO,2003
1584,Pape Matar Sarr,"MF,FW",SEN,2002
1585,Pedro Porro,"DF,MF",ESP,1999
1587,Richarlison,"MF,FW",BRA,1997
1589,Ryan Sessegnon,DF,ENG,2000
1596,Conor Coventry,"MF,FW",IRL,2000
1600,Divin Mubama,FW,ENG,2004
1602,Flynn Downes,MF,ENG,1999
