,player,pos,nation,born
1603,Gianluca Scamacca,FW,ITA,1999
1606,Lucas Paquetá,MF,BRA,1997
1608,Maxwel Cornet,FW,CIV,1996
1610,Nayef Aguerd,DF,MAR,1996
1613,Thilo Kehrer,DF,GER,1996
1618,Boubacar Traoré,MF,MLI,2001
1619,Chem Campbell,"FW,MF",WAL,2002
1620,Connor Ronan,MF,IRL,1998
1622,Daniel Bentley,GK,ENG,1993
1624,Dexter Lembikisa,DF,JAM,2003
1625,Diego Costa,FW,ESP,1988
1626,Gonçalo Guedes,"FW,MF",POR,1996
1627,Hugo Bueno,DF,ESP,2002
1630,Joseph Hodge,MF,IRL,2002
1632,João Gomes,MF,BRA,2001
1636,Matheus Cunha,FW,BRA,1999
1637,Matheus Nunes,MF,POR,1998
1639,Morgan Gibbs-White,"FW,MF",ENG,2000
1641,Nélson Semedo,DF,POR,1993
1642,Pablo Sarabia,"FW,MF",ESP,1992
1647,Sasa Kalajdzic,FW,AUT,1997
1656,Emile Smith Rowe,MF,ENG,2000
1664,Jurriën Timber,DF,NED,2001
1672,Thomas Partey,"MF,DF",GHA,1993
1674,Bertrand Traoré,"DF,FW",BFA,1995
1676,Calum Chambers,"MF,DF",ENG,1995
1677,Cameron Archer,MF,ENG,2001
1683,Finley Munroe,MF,ENG,2005
1684,Jacob Ramsey,"FW,MF",ENG,2001
1688,Kaine Kesler-Hayden,"MF,DF",ENG,2002
1690,Leon Bailey,"MF,FW",JAM,1997
1693,Morgan Rogers,"MF,FW",ENG,2002
1694,Moussa Diaby,"FW,MF",FRA,1999
1695,Nicolò Zaniolo,"FW,MF",ITA,1999
1697,Omari Kellyman,FW,ENG,2005
1698,Pau Torres,DF,ESP,1997
1703,Youri Tielemans,"MF,FW",BEL,1997
1706,Alex Scott,MF,ENG,2003
1707,Antoine Semenyo,FW,GHA,2000
1709,Dango Ouattara,"FW,DF",BFA,2002
1711,Dominic Sadi,FW,ENG,2003
1712,Dominic Solanke,FW,ENG,1997
1713,Enes Ünal,"FW,MF",TUR,1997
1714,Hamed Junior Traorè,MF,CIV,2000
1716,Ionuț Radu,GK,ROU,1997
1717,Jaidon Anthony,FW,ENG,1999
1718,James Hill,DF,ENG,2002
1720,Justin Kluivert,"MF,FW",NED,1999
1721,Kieffer Moore,"FW,MF",WAL,1992
1724,Luis Sinisterra,"FW,MF",COL,1999
1726,Marcus Tavernier,FW,ENG,1999
1729,Milos Kerkez,DF,HUN,2003
1731,Philip Billing,MF,DEN,1996
1732,Romain Faivre,"MF,FW",FRA,1998
1733,Ryan Christie,MF,SCO,1995
1742,Josh Dasilva,"DF,FW",ENG,1998
1743,Keane Lewis-Potter,"FW,DF",ENG,2001
1744,Kevin Schade,"FW,MF",GER,2001
1747,Mark Flekken,GK,NED,1993
1750,Michael Olakigbe,"DF,FW",ENG,2004
1751,Mikkel Damsgaard,MF,DEN,2000
1752,Myles Peart-Harris,"DF,MF",ENG,2002
1756,Saman Ghoddos,DF,IRN,1993
1759,Thomas Strakosha,GK,ALB,1995
1761,Yehor Yarmoliuk,MF,UKR,2004
1765,Ansu Fati,"MF,FW",ESP,2002
1766,Bart Verbruggen,GK,NED,2002
1767,Benicio Boaitey,"FW,DF",ENG,2004
1769,Carlos Baleba,MF,CMR,2004
1773,Igor,DF,BRA,1998
1774,Jack Hinshelwood,DF,ENG,2005
1775,Jakub Moder,"MF,DF",POL,1999
1776,James Milner,"DF,MF",ENG,1986
1781,Julio Enciso,"MF,FW",PAR,2004
1782,Kaoru Mitoma,FW,JPN,1997
1784,Mahmoud Dahoud,MF,GER,1996
1785,Mark O'Mahony,FW,IRL,2005
1789,Simon Adingra,FW,CIV,2002
1792,Valentín Barco,"DF,FW",ARG,2004
1793,Aaron Ramsey,"MF,FW",ENG,2003
1794,Ameen Al-Dakhil,DF,BEL,2002
1795,Anass Zaroury,"FW,MF",MAR,2000
1796,Arijanet Muric,GK,KVX,1998
1797,Benson Manuel,"MF,FW",ANG,1997
1802,Han-Noah Massengo,"MF,DF",FRA,2001
1803,Hannes Delcroix,DF,HAI,1999
1804,Hjalmar Ekdal,DF,SWE,1998
1806,Jacob Bruun Larsen,"MF,FW",DEN,1998
1807,James Trafford,GK,ENG,2002
1809,Jordan Beyer,DF,GER,2000
1811,Josh Cullen,MF,IRL,1996
1812,Jóhann Berg Guðmundsson,"MF,FW",ISL,1990
1813,Lorenz Assignon,DF,TOG,2000
1814,Luca Koleosho,"MF,FW",ITA,2004
1815,Lyle Foster,"FW,MF",RSA,2000
1816,Maxime Estève,DF,FRA,2002
1817,Michael Obafemi,"FW,MF",IRL,2000
1818,Mike Trésor,"FW,MF",BEL,1999
1819,Nathan Redmond,"FW,MF",ENG,1994
1821,Vitinho,"DF,MF",BRA,1999
1822,Wilson Odobert,"MF,FW",FRA,2004
1823,Zeki Amdouni,FW,SUI,2000
1824,Alex Matos,MF,ENG,2004
1825,Alfie Gilchrist,DF,ENG,2003
1827,Axel Disasi,DF,FRA,1998
1831,Cesare Casadei,"FW,MF",ITA,2003
1832,Christopher Nkunku,"FW,MF",FRA,1997
1835,Deivid Washington,"DF,FW",BRA,2005
1837,Ian Maatsen,"FW,MF",NED,2002
1838,Jimi Tauriainen,FW,ENG,2004
1839,Joshua Acheampong,DF,ENG,2006
1840,Lesley Ugochukwu,MF,FRA,2004
1842,Malo Gusto,DF,FRA,2003
1844,Mason Burstow,FW,ENG,2003
1846,Mykhailo Mudryk,FW,UKR,2001
1847,Nicolas Jackson,FW,SEN,2001
1855,Đorđe Petrović,GK,SRB,1999
1856,Adam Wharton,MF,ENG,2004
1858,Chris Richards,"DF,MF",USA,2000
1859,Daniel Muñoz,"DF,MF",COL,1996
1860,David Ozoh,"MF,DF",ENG,2005
1864,Jaïro Riedewald,"MF,FW",NED,1996
1866,Jefferson Lerma,"MF,DF",COL,1994
1867,Jeffrey Schlupp,"FW,MF",GHA,1992
1868,Jesurun Rak Sakyi,"MF,FW",ENG,2002
1873,Matheus França,"MF,FW",BRA,2004
1877,Odsonne Édouard,"FW,MF",FRA,1998
1878,Remi Matthews,GK,ENG,1994
1880,Tyrick Mitchell,"DF,MF",ENG,1999
1882,Abdoulaye Doucouré,"FW,MF",MLI,1993
1883,Alex Iwobi,MF,NGA,1996
1885,André Gomes,"MF,FW",POR,1993
1886,Arnaut Danjuma,"MF,FW",NED,1997
1887,Ashley Young,"DF,MF",ENG,1985
1889,Beto,FW,GNB,1998
1891,Dwight McNeil,"MF,FW",ENG,1999
1894,James Garner,MF,ENG,2001
1898,Lewis Dobbin,MF,ENG,2003
1899,Lewis Warrington,FW,ENG,2002
1901,Nathan Patterson,DF,SCO,2001
1907,Youssef Chermiti,FW,POR,2004
1915,Bobby De Cordova-Reid,FW,JAM,1993
1916,Calvin Bassey,DF,NGA,1999
1918,Fodé Ballo-Touré,"DF,MF",SEN,1997
1924,Luke Harris,MF,WAL,2005
1926,Rodrigo Muniz,FW,BRA,2001
1940,Conor Bradley,DF,NIR,2003
1944,Dominik Szoboszlai,MF,HUN,2000
1947,James McConnell,MF,ENG,2004
1948,Jarell Quansah,DF,ENG,2003
1949,Jayden Danns,FW,ENG,2006
1956,Owen Beck,DF,WAL,2002
1957,Ryan Gravenberch,MF,NED,2002
1962,Wataru Endo,MF,JPN,1993
1964,Alfie Doughty,DF,ENG,1999
1965,Amari'i Bell,DF,JAM,1994
1967,Carlton Morris,"FW,MF",ENG,1995
1968,Cauley Woodrow,"FW,MF",ENG,1994
1969,Chiedozie Ogbene,"MF,DF",IRL,1997
1970,Daiki Hashioka,DF,JPN,1999
1971,Elijah Adebayo,FW,ENG,1998
1972,Fred Onyedinma,"DF,MF",ENG,1996
1973,Gabriel Osho,DF,NGA,1998
1974,Issa Kaboré,DF,BFA,2001
1975,Jacob Brown,"MF,FW",SCO,1998
1976,James Shea,GK,ENG,1991
1977,Jordan Clark,MF,ENG,1993
1978,Joseph Johnson,DF,ENG,2006
1979,Luke Berry,"MF,DF",ENG,1992
1980,Mads Juel Andersen,DF,DEN,1997
1982,Pelly Ruddock Mpanzu,MF,COD,1993
1983,Reece Burke,DF,ENG,1996
1985,Ryan Giles,"DF,MF",ENG,2000
1986,Tahith Chong,"MF,FW",CUW,1999
1987,Teden Mengi,DF,ENG,2002
1988,Thomas Kaminski,GK,BEL,1992
1989,Tom Lockyer,DF,WAL,1994
1990,Zack Nelson,"MF,DF",ENG,2004
1993,Cole Palmer,MF,ENG,2002
1997,James Mcatee,MF,ENG,2002
1998,Jeremy Doku,"FW,MF",BEL,2002
2000,Joško Gvardiol,DF,CRO,2002
2001,Julián Álvarez,"MF,FW",ARG,2000
2005,Manuel Akanji,"DF,MF",SUI,1995
2009,Oscar Bobb,"FW,MF",NOR,2003
2014,Sergio Gómez,"FW,MF",ESP,2000
2017,Alejandro Garnacho,FW,ARG,2004
2018,Amad Diallo,"FW,MF",CIV,2002
2019,André Onana,GK,CMR,1996
2023,Casemiro,"MF,DF",BRA,1992
2025,Daniel Gore,MF,ENG,2004
2027,Donny van de Beek,DF,NED,1997
2028,Ethan Wheatley,FW,ENG,2006
2030,Hannibal Mejbri,"MF,FW",TUN,2003
2039,Omari Forson,FW,ENG,2004
2041,Rasmus Højlund,FW,DEN,2003
2042,Scott McTominay,"MF,FW",SCO,1996
2044,Sofyan Amrabat,"MF,DF",MAR,1996
2046,Willy Kambwala,DF,FRA,2004
2047,Alex Murphy,"DF,FW",IRL,2004
2049,Amadou Diallo,MF,ENG,2003
2051,Ben Parkinson,FW,ENG,2005
2061,Joe White,MF,ENG,2002
2067,Loris Karius,GK,GER,1993
2071,Michael Ndiweni,FW,ENG,2003
2075,Sandro Tonali,MF,ITA,2000
2080,Andrey Santos,MF,BRA,2004
2081,Anthony Elanga,"FW,MF",SWE,2002
2082,Brandon Aguilera,FW,CRC,2003
2084,Callum Hudson-Odoi,"FW,MF",ENG,2000
2090,Gio Reyna,"FW,MF",USA,2002
2091,Gonzalo Montiel,DF,ARG,1997
2093,Ibrahim Sangaré,MF,CIV,1997
2095,Matt Turner,GK,USA,1994
2096,Matz Sels,GK,BEL,1992
2099,Murillo,DF,BRA,2002
2101,Nicolás Domínguez,"MF,FW",ARG,1998
2103,Odysseas Vlachodimos,GK,GRE,1994
2106,Rodrigo Ribeiro,"MF,FW",POR,2005
2109,Serge Aurier,"DF,MF",CIV,1992
2112,Andre Brooks,"MF,DF",ENG,2003
2113,Anel Ahmedhodžić,DF,BIH,1999
2114,Anis Ben Slimane,MF,TUN,2001
2115,Antwoine Hackford,FW,ENG,2004
2116,Auston Trusty,DF,USA,1998
2117,Ben Brereton,"FW,MF",CHI,1999
2118,Ben Osborn,"DF,MF",ENG,1994
2119,Bénie Traoré,"FW,MF",CIV,2002
2124,Gustavo Hamer,MF,NED,1997
2125,Ivo Grbić,GK,CRO,1996
2128,Jayden Bogle,DF,ENG,2000
2130,John Fleck,"MF,DF",SCO,1991
2133,Max Lowe,"DF,MF",ENG,1997
2134,Oliver Arblaster,MF,ENG,2004
2138,Rhys Norrington-Davies,DF,WAL,1999
2139,Ryan One,FW,SCO,2006
2140,Sam Curtis,DF,IRL,2005
2141,Sydie Peck,MF,ENG,2004
2143,Vinicius Souza,MF,BRA,1999
2144,Wes Foderingham,GK,ENG,1991
2145,William Osula,FW,DEN,2003
2146,Yasser Larouci,DF,ALG,2001
2147,Alejo Véliz,FW,ARG,2003
2149,Brennan Johnson,FW,WAL,2001
2154,Dejan Kulusevski,"FW,MF",SWE,2000
2155,Destiny Udogie,DF,ITA,2002
2159,Guglielmo Vicario,GK,ITA,1996
2160,Ivan Perišić,FW,CRO,1989
2162,Jamie Donley,FW,NIR,2005
2164,Micky van de Ven,DF,NED,2001
2165,Mikey Moore,MF,ENG,2007
2166,Oliver Skipp,"MF,DF",ENG,2000
2167,Pape Matar Sarr,MF,SEN,2002
2168,Pedro Porro,DF,ESP,1999
2170,Radu Drăgușin,DF,ROU,2002
2174,Timo Werner,FW,GER,1996
2176,Aaron Cresswell,"DF,FW",ENG,1989
2182,Edson Álvarez,MF,MEX,1997
2184,George Earthy,FW,ENG,2004
2187,Kaelan Casey,DF,ENG,2004
2189,Konstantinos Mavropanos,DF,GRE,1997
2191,Lucas Paquetá,"FW,MF",BRA,1997
2192,Maxwel Cornet,"MF,FW",CIV,1996
2194,Mohammed Kudus,"FW,MF",GHA,2000
2196,Pablo Fornals,"MF,FW",ESP,1996
2198,Thilo Kehrer,"DF,MF",GER,1996
2205,Enso Gonzalez,"MF,DF",PAR,2005
2207,Hugo Bueno,"DF,MF",ESP,2002
2209,Jean-Ricner Bellegarde,"MF,FW",HAI,1998
2210,Jonny Castro,MF,ESP,1994
2213,Leon Chiwome,FW,ENG,2006
2215,Matheus Cunha,"FW,MF",BRA,1999
2219,Nathan Fraser,FW,IRL,2005
2221,Pablo Sarabia,"MF,FW",ESP,1992
2224,Santiago Bueno,DF,URU,1998
2226,Tawanda Chirewa,"MF,FW",ZIM,2003
2227,Tommy Doyle,MF,ENG,2001
2233,Ethan Nwaneri,"FW,MF",ENG,2007
2241,Kieran Tierney,"DF,FW",SCO,1997
2244,Mikel Merino,"MF,FW",ESP,1996
2245,Myles Lewis-Skelly,DF,ENG,2006
2246,Nathan Butler-Oyedeji,FW,ENG,2003
2247,Oleksandr Zinchenko,"DF,MF",UKR,1996
2250,Riccardo Calafiori,DF,ITA,2002
2255,Andrés García,"DF,MF",ESP,2003
2259,Donyell Malen,FW,NED,1999
2263,Ian Maatsen,DF,NED,2002
2265,Jaden Philogene Bidace,"FW,MF",ENG,2002
2267,Jáder Durán,FW,COL,2003
2268,Kosta Nedeljković,DF,SRB,2005
2269,Lamare Bogarde,"DF,MF",NED,2004
2272,Marco Asensio,MF,ESP,1996
2275,Morgan Rogers,"FW,MF",ENG,2002
2285,Ben Winterburn,"MF,FW",ENG,2004
2286,Dango Ouattara,FW,BFA,2002
2289,Dean Huijsen,DF,ESP,2005
2291,Evanilson,FW,BRA,1999
2294,Julian Araujo,DF,MEX,2001
2295,Julio Soler,"DF,FW",ARG,2005
2296,Justin Kluivert,MF,NED,1999
2298,Lewis Cook,"MF,DF",ENG,1997
2301,Marcus Tavernier,"FW,MF",ENG,1999
2307,Remy Rees-Dottin,FW,ENG,2006
2310,Zain Silcott-Duberry,FW,MSR,2005
2314,Edmond-Paris Maghoma,"MF,FW",ENG,2001
2316,Fabio Carvalho,"FW,MF",POR,2002
2318,Gustavo Nunes,"FW,MF",BRA,2005
2319,Hákon Valdimarsson,GK,ISL,2001
2320,Jayden Meghoma,DF,ENG,2006
2321,Keane Lewis-Potter,"DF,FW",ENG,2001
2323,Kim Jisoo,DF,KOR,2004
2328,Michael Kayode,DF,ITA,2004
2332,Ryan Trevitt,MF,ENG,2003
2333,Sepp van den Berg,DF,NED,2001
2334,Thiago,"FW,MF",BRA,2001
2338,Yunus Emre Konak,"FW,MF",TUR,2006
2342,Brajan Gruda,"MF,FW",GER,2004
2345,Diego Gómez,MF,PAR,2003
2346,Eiran Cashin,DF,IRL,2001
2348,Ferdi Kadioglu,"DF,MF",TUR,1999
2349,Georginio Rutter,"MF,FW",FRA,2002
2350,Harry Howell,FW,ENG,2008
2352,Jack Hinshelwood,"MF,DF",ENG,2005
2354,James Milner,MF,ENG,1986
2363,Mats Wieffer,"DF,MF",NED,1999
2364,Matt O'Riley,MF,DEN,2000
2366,Simon Adingra,"FW,MF",CIV,2002
2367,Solly March,"FW,MF",ENG,1994
2369,Yankuba Minteh,"FW,MF",GAM,2004
2373,Christopher Nkunku,FW,FRA,1997
2376,Filip Jørgensen,GK,DEN,2002
2377,Jadon Sancho,FW,ENG,2000
2380,Kiernan Dewsbury-Hall,"MF,FW",ENG,1998
2384,Marc Guiu,FW,ESP,2006
2385,Mathis Amougou,MF,FRA,2006
2386,Moisés Caicedo,"MF,DF",ECU,2001
2390,Pedro Neto,FW,POR,2000
2392,Renato Veiga,"DF,MF",POR,2003
2395,Shumaira Mheuka,MF,ENG,2007
2398,Tyrique George,FW,ENG,2006
2401,Asher Agbinone,MF,ENG,2005
2403,Caleb Kporha,DF,ENG,2006
2404,Chadi Riad,DF,MAR,2003
2407,Daichi Kamada,MF,JPN,1996
2408,Daniel Muñoz,DF,COL,1996
2411,Eddie Nketiah,"FW,MF",ENG,1999
2412,Ismaila Sarr,MF,SEN,1998
2415,Jeffrey Schlupp,"MF,DF",GHA,1992
2419,Justin Devenny,MF,NIR,2003
2422,Maxence Lacroix,DF,FRA,2000
2423,Nathaniel Clyne,"DF,MF",ENG,1991
2424,Odsonne Édouard,"MF,FW",FRA,1998
2425,Romain Esse,MF,ENG,2005
2433,Carlos Alcaraz,"FW,MF",ARG,2002
2436,Harrison Armstrong,MF,ENG,2007
2438,Iliman Ndiaye,FW,SEN,2000
2439,Jack Harrison,FW,ENG,1996
2440,Jake O'Brien,DF,IRL,2001
2444,Jesper Lindstrøm,FW,DEN,2000
2446,Mason Holgate,"FW,DF",JAM,1996
2450,Roman Dixon,DF,ENG,2004
2454,Youssef Chermiti,"FW,MF",POR,2004
2461,Carlos Vinícius,"MF,FW",BRA,1995
2464,Harry Wilson,"FW,MF",WAL,1997
2466,Jay Stansfield,MF,ENG,2002
2468,Jorge Cuenca,DF,ESP,1999
2469,Joshua King,MF,ENG,2007
2471,Martial Godo,"FW,DF",ENG,2003
2475,Ryan Sessegnon,"FW,DF",ENG,2000
2480,Willian,"FW,MF",BRA,1988
2481,Alex Palmer,GK,ENG,1996
2482,Ali Al Hamadi,FW,IRQ,2002
2487,Cameron Burgess,DF,AUS,1995
2488,Chiedozie Ogbene,FW,IRL,1997
2489,Christian Walton,GK,ENG,1995
2490,Conor Chaplin,"MF,FW",ENG,1997
2493,George Edmundson,DF,ENG,1997
2494,George Hirst,FW,SCO,1999
2495,Harry Clarke,DF,ENG,2001
2496,Jack Clarke,"FW,MF",ENG,2000
2497,Jack Taylor,MF,IRL,1998
2498,Jacob Greaves,DF,ENG,2000
2499,Jaden Philogene Bidace,"FW,DF",ENG,2002
2500,Jens Cajuste,MF,SWE,1999
2505,Luke Woolfenden,DF,ENG,1998
2506,Marcus Harness,MF,ENG,1996
2507,Massimo Luongo,MF,AUS,1992
2508,Nathan Broadhead,"MF,FW",WAL,1998
2509,Omari Hutchinson,"MF,FW",ENG,2003
2510,Sam Morsy,MF,EGY,1991
2511,Sammie Szmodics,"FW,MF",IRL,1995
2512,Wes Burns,"FW,DF",WAL,1994
2513,Abdul Fatawu Issahaku,FW,GHA,2004
2514,Bilal El Khannouss,"MF,FW",MAR,2004
2517,Caleb Okoli,DF,ITA,2001
2521,Hamza Choudhury,"MF,DF",BAN,1997
2524,Jakub Stolarczyk,GK,POL,2000
2532,Mads Hermansen,GK,DEN,2000
2533,Michael Golding,MF,ENG,2006
2537,Patson Daka,"FW,MF",ZAM,1998
2539,Stephy Mavididi,FW,ENG,1998
2542,Will Alves,FW,ENG,2005
2544,Woyo Coulibaly,DF,MLI,1999
2549,Cody Gakpo,FW,NED,1999
2551,Curtis Jones,"MF,DF",ENG,2001
2555,Federico Chiesa,FW,ITA,1997
2559,Jayden Danns,MF,ENG,2006
2567,Vitezslav Jaros,GK,CZE,2001
2568,Wataru Endo,"MF,DF",JPN,1993
2569,Abdukodir Khusanov,DF,UZB,2004
2571,Claudio Echeverri,FW,ARG,2006
2576,Jahmai Simpson-Pusey,DF,ENG,2005
2581,Kevin De Bruyne,"MF,FW",BEL,1991
2585,Matheus Nunes,"DF,MF",POR,1998
2587,Nico O’Reilly,DF,ENG,2005
2588,Nicolás González,MF,ESP,2002
2589,Omar Marmoush,"FW,MF",EGY,1999
2590,Oscar Bobb,FW,NOR,2003
2591,Phil Foden,"MF,FW",ENG,2000
2596,Sávio,"FW,MF",BRA,2004
2597,Vitor Reis,DF,BRA,2006
2599,Alejandro Garnacho,"MF,FW",ARG,2004
2600,Altay Bayındır,GK,TUR,1998
2601,Amad Diallo,"MF,FW",CIV,2002
2603,Antony,"DF,MF",BRA,2000
2604,Ayden Heaven,DF,ENG,2006
2607,Chidozie Obi-Martin,FW,DEN,2007
2610,Harry Amass,DF,ENG,2007
2613,Joshua Zirkzee,"FW,MF",NED,2001
2615,Leny Yoro,DF,FRA,2005
2618,Manuel Ugarte,MF,URU,2001
2621,Matthijs de Ligt,DF,NED,1999
2622,Noussair Mazraoui,DF,MAR,1997
2623,Patrick Dorgu,DF,DEN,2004
2626,Toby Collyer,MF,ENG,2004
2627,Tyler Fredricson,DF,ENG,2005
2637,Harvey Barnes,FW,ENG,1997
2639,Joe Willock,"MF,FW",ENG,1999
2657,Danilo,"MF,FW",BRA,2001
2659,Eric da Silva Moreira,"MF,DF",GER,2006
2663,Jota Silva,"FW,MF",POR,1999
2665,Morato,DF,BRA,2001
2666,Morgan Gibbs-White,MF,ENG,2000
2670,Nikola Milenković,DF,SRB,1997
2672,Ramón Sosa,"FW,MF",PAR,1999
2676,Álex Moreno,"DF,MF",ESP,1993
2680,Albert Grønbaek,"FW,MF",DEN,2001
2683,Ben Brereton,FW,CHI,1999
2684,Cameron Archer,FW,ENG,2001
2685,Carlos Alcaraz,MF,ARG,2002
2691,Jay Robinson,"MF,FW",ENG,2007
2692,Joachim Kayi Sanda,DF,FRA,2006
2693,Joe Aribo,"MF,DF",NGA,1996
2694,Joe Lumley,GK,ENG,1995
2698,Mateus Fernandes,MF,POR,2004
2700,Nathan Wood-Gordon,DF,ENG,2002
2702,Ronnie Edwards,DF,ENG,2003
2703,Ross Stewart,FW,SCO,1996
2704,Ryan Fraser,"FW,DF",SCO,1994
2705,Ryan Manning,"DF,MF",IRL,1996
2706,Samuel Amo-Ameyaw,"FW,DF",ENG,2006
2707,Samuel Edozie,"DF,FW",ENG,2003
2708,Taylor Harwood-Bellis,DF,ENG,2002
2709,Tyler Dibling,"FW,MF",ENG,2006
2710,Welington,DF,BRA,2001
2712,Yukinari Sugawara,"DF,MF",JPN,2000
2713,Alfie Dorrington,DF,ENG,2005
2714,Antonín Kinský,GK,CZE,2003
2715,Archie Gray,"DF,MF",ENG,2006
2717,Brandon Austin,GK,ENG,1999
2720,Dane Scarlett,"FW,MF",ENG,2004
2723,Djed Spence,DF,ENG,2000
2728,Kevin Danso,DF,AUT,1998
2729,Lucas Bergvall,MF,SWE,2006
2730,Mathys Tel,FW,FRA,2005
2732,Mikey Moore,FW,ENG,2007
2741,Will Lankshear,"FW,MF",ENG,2005
2742,Wilson Odobert,"FW,MF",FRA,2004
2747,Andy Irving,MF,SCO,2000
2748,Carlos Soler,"MF,FW",ESP,1997
2749,Crysencio Summerville,"FW,MF",NED,2001
2750,Danny Ings,"FW,MF",ENG,1992
2754,Guido Rodríguez,MF,ARG,1994
2757,Jean-Clair Todibo,DF,FRA,1999
2760,Lewis Orford,MF,ENG,2006
2761,Lucas Paquetá,"MF,FW",BRA,1997
2762,Luis Guilherme,"MF,FW",BRA,2006
2766,Niclas Füllkrug,FW,GER,1993
2767,Oliver Scarles,"DF,FW",ENG,2005
2771,Alfie Pond,DF,ENG,2004
2772,André,MF,BRA,2001
2774,Carlos Forbs,"MF,FW",POR,2004
2775,Chiquinho,MF,POR,2000
2779,Emmanuel Agbadou,DF,CIV,1997
2780,Gonçalo Guedes,"MF,FW",POR,1996
2781,Hwang Hee-chan,"MF,FW",KOR,1996
2785,Jørgen Strand Larsen,FW,NOR,2000
2786,Mario Lemina,"MF,DF",GAB,1993
2787,Marshall Munetsi,"MF,FW",ZIM,1996
2788,Mateus Mane,MF,POR,2007
2789,Matheus Cunha,"MF,FW",BRA,1999
2791,Nasser Djiga,DF,BFA,2002
2794,Pedro Lima,DF,BRA,2006
2796,Rodrigo Gomes,"DF,FW",POR,2003
2799,Tom King,GK,WAL,1995
2802,Yerson Mosquera,DF,COL,2001
