competition_label,club_label,founding_year,venue_label,city_label,capacity,club_id,venue_id
Premier League,AFC Bournemouth,1899,Dean Court,Bournemouth,12000,Q19568,Q619094
Premier League,Arsenal F.C.,1886,Emirates Stadium,London,60338,Q9617,Q163995
Premier League,Aston Villa F.C.,1874,Villa Park,Birmingham,42640,Q18711,Q175339
Premier League,Brentford F.C.,1889,Gtech Community Stadium,Brentford,17250,Q19571,Q1546623
Premier League,Brighton & Hove Albion F.C.,1901,Brighton Community Stadium,Brighton,31800,Q19453,Q619409
Premier League,Chelsea F.C.,1905,Stamford Bridge,Fulham,41875,Q9616,Q171458
Premier League,Crystal Palace F.C.,1905,Selhurst Park,South Norwood,26255,Q19467,Q1066373
Premier League,Everton F.C.,1878,Goodison Park,Liverpool,39414,Q5794,Q188874
Premier League,Fulham F.C.,1879,Craven Cottage,Fulham,25700,Q18708,Q318043
Premier League,Ipswich Town F.C.,1878,Portman Road,Ipswich,30311,Q9653,Q619558
Premier League,Leicester City F.C.,1884,King Power Stadium,Leicester,32261,Q19481,Q620031
Premier League,Liverpool F.C.,1892,Anfield,Anfield,53394,Q1130849,Q45671
Premier League,Manchester City F.C.,1894,Etihad Stadium,Manchester,55017,Q50602,Q48159
Premier League,Manchester United F.C.,1878,Old Trafford,Manchester,75731,Q18656,Q83457
Premier League,Newcastle United F.C.,1892,St Jamesâ€™ Park,Newcastle upon Tyne,52305,Q18716,Q191774
Premier League,Nottingham Forest F.C.,1865,City Ground,Rushcliffe,30404,Q19490,Q593446
Premier League,Southampton F.C.,1885,St Mary's Stadium,Southampton,32589,Q18732,Q567339
Premier League,Tottenham Hotspur F.C.,1882,Tottenham Hotspur Stadium,Tottenham,62850,Q18741,Q55074091
Premier League,West Ham United F.C.,1895,London Stadium,Stratford,62500,Q18747,Q172190
Premier League,Wolverhampton Wanderers F.C.,1877,Molineux Stadium,Wolverhampton,30852,Q19500,Q380823
competition_label,club_label,founding_year,venue_label,city_label,capacity,club_id,venue_id
EFL Championship,Blackburn Rovers F.C.,1875,Ewood Park,Blackburn,31367,Q19446,Q245085
EFL Championship,Bristol City F.C.,1897,Ashton Gate Stadium,City of Bristol,27699,Q19456,Q726370
EFL Championship,Burnley F.C.,1882,Turf Moor,Burnley,21944,Q19458,Q683112
EFL Championship,Cardiff City F.C.,1899,Cardiff City Stadium,Cardiff,33280,Q18660,Q503848
EFL Championship,Coventry City F.C.,1883,Coventry Building Society Arena,Coventry,32609,Q19580,Q842077
EFL Championship,Derby County F.C.,1884,Pride Park Stadium,Derby,33597,Q19470,Q201612
EFL Championship,Hull City A.F.C.,1904,MKM Stadium,Kingston upon Hull,25400,Q19477,Q630160
EFL Championship,Leeds United F.C.,1919,Elland Road,Leeds,37792,Q1128631,Q619505
EFL Championship,Luton Town F.C.,1885,Kenilworth Road,Luton,12056,Q18516,Q1063683
EFL Championship,Middlesbrough F.C.,1876,Riverside Stadium,Middlesbrough,34742,Q18661,Q822886
EFL Championship,Millwall F.C.,1885,The Den,Bermondsey,20146,Q19487,Q908481
EFL Championship,Norwich City F.C.,1902,Carrow Road,Norwich,27244,Q18721,Q123017
EFL Championship,Oxford United F.C.,1893,Kassam Stadium,Oxford,12500,Q48946,Q1672134
EFL Championship,Plymouth Argyle F.C.,1886,Home Park,Plymouth,17900,Q19499,Q619350
EFL Championship,Portsmouth F.C.,1898,Fratton Park,Portsmouth,21100,Q19604,Q619531
EFL Championship,Preston North End F.C.,1880,Deepdale,Preston,24500,Q19612,Q1141958
EFL Championship,Queens Park Rangers F.C.,1882,Loftus Road,London,18439,Q18723,Q31670
EFL Championship,Sheffield United F.C.,1889,Bramall Lane,Sheffield,32702,Q19607,Q897533
EFL Championship,Sheffield Wednesday F.C.,1867,Hillsborough Stadium,Owlerton,39732,Q19498,Q642557
EFL Championship,Stoke City F.C.,1863,Bet365 Stadium,Stoke-on-Trent,27740,Q18736,Q500922
EFL Championship,Sunderland A.F.C.,1879,Stadium of Light,Sunderland,48339,Q18739,Q31969
EFL Championship,Swansea City A.F.C.,1912,Swansea.com Stadium,Wales,20750,Q18659,Q580480
EFL Championship,Watford F.C.,1881,Vicarage Road,Watford,22000,Q2714,Q10626
EFL Championship,West Bromwich Albion F.C.,1878,The Hawthorns,West Bromwich,26445,Q18744,Q31678